"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8145934,14597,1,2019,"U",,"Y","G","C","2019_01_OH0510900_NIBRS",,0
2019,8153596,14597,2,2019,"U",,"Y","G","C","2019_02_OH0510900_NIBRS",,0
2019,8161258,14597,3,2019,"U",,"Y","G","C","2019_03_OH0510900_NIBRS",,0
2019,8168920,14597,4,2019,"U",,"Y","G","C","2019_04_OH0510900_NIBRS",,0
2019,8176582,14597,5,2019,"U",,"Y","G","C","2019_05_OH0510900_NIBRS",,0
2019,8184244,14597,6,2019,"U",,"Y","G","C","2019_06_OH0510900_NIBRS",,0
2019,8191906,14597,7,2019,"U",,"Y","G","C","2019_07_OH0510900_NIBRS",,0
2019,8199568,14597,8,2019,"U",,"Y","G","C","2019_08_OH0510900_NIBRS",,0
2019,8207230,14597,9,2019,"U",,"Y","G","C","2019_09_OH0510900_NIBRS",,0
2019,8214892,14597,10,2019,"U",,"Y","G","C","2019_10_OH0510900_NIBRS",,0
2019,8222554,14597,11,2019,"U",,"Y","G","C","2019_11_OH0510900_NIBRS",,0
2019,8230216,14597,12,2019,"U",,"Y","G","C","2019_12_OH0510900_NIBRS",,0
2019,8145673,14271,1,2019,"I",,"Y","G","C","2019_01_OH0186500_NIBRS",64228635,0
2019,8153335,14271,2,2019,"I",,"Y","G","C","2019_02_OH0186500_NIBRS",51143564,0
2019,8160997,14271,3,2019,"I",,"Y","G","C","2019_03_OH0186500_NIBRS",64228638,0
2019,8168659,14271,4,2019,"I",,"Y","G","C","2019_04_OH0186500_NIBRS",51148144,0
2019,8176321,14271,5,2019,"I",,"Y","G","C","2019_05_OH0186500_NIBRS",64228640,0
2019,8183983,14271,6,2019,"I",,"Y","G","C","2019_06_OH0186500_NIBRS",51139873,0
2019,8191645,14271,7,2019,"I",,"Y","G","C","2019_07_OH0186500_NIBRS",64224362,0
2019,8199307,14271,8,2019,"I",,"Y","G","C","2019_08_OH0186500_NIBRS",64228653,0
2019,8206969,14271,9,2019,"I",,"Y","G","C","2019_09_OH0186500_NIBRS",64228660,0
2019,8214631,14271,10,2019,"I",,"Y","G","C","2019_10_OH0186500_NIBRS",64228662,0
2019,8222293,14271,11,2019,"I",,"Y","G","C","2019_11_OH0186500_NIBRS",64224367,0
2019,8229955,14271,12,2019,"I",,"Y","G","C","2019_12_OH0186500_NIBRS",64228648,0
2019,8146046,14747,1,2019,"U",,"Y","G","C","2019_01_OH070130X_NIBRS",,0
2019,8153708,14747,2,2019,"U",,"Y","G","C","2019_02_OH070130X_NIBRS",,0
2019,8161370,14747,3,2019,"U",,"Y","G","C","2019_03_OH070130X_NIBRS",,0
2019,8169032,14747,4,2019,"U",,"Y","G","C","2019_04_OH070130X_NIBRS",,0
2019,8176694,14747,5,2019,"U",,"Y","G","C","2019_05_OH070130X_NIBRS",,0
2019,8184356,14747,6,2019,"U",,"Y","G","C","2019_06_OH070130X_NIBRS",,0
2019,8192018,14747,7,2019,"U",,"Y","G","C","2019_07_OH070130X_NIBRS",,0
2019,8199680,14747,8,2019,"U",,"Y","G","C","2019_08_OH070130X_NIBRS",,0
2019,8207342,14747,9,2019,"U",,"Y","G","C","2019_09_OH070130X_NIBRS",,0
2019,8215004,14747,10,2019,"U",,"Y","G","C","2019_10_OH070130X_NIBRS",,0
2019,8222666,14747,11,2019,"U",,"Y","G","C","2019_11_OH070130X_NIBRS",,0
2019,8230328,14747,12,2019,"U",,"Y","G","C","2019_12_OH070130X_NIBRS",,0
2019,8145927,14588,1,2019,"U",,"Y","G","C","2019_01_OH0501900_NIBRS",,0
2019,8153589,14588,2,2019,"U",,"Y","G","C","2019_02_OH0501900_NIBRS",,0
2019,8161251,14588,3,2019,"U",,"Y","G","C","2019_03_OH0501900_NIBRS",,0
2019,8168913,14588,4,2019,"U",,"Y","G","C","2019_04_OH0501900_NIBRS",,0
2019,8176575,14588,5,2019,"U",,"Y","G","C","2019_05_OH0501900_NIBRS",,0
2019,8184237,14588,6,2019,"U",,"Y","G","C","2019_06_OH0501900_NIBRS",,0
2019,8191899,14588,7,2019,"U",,"Y","G","C","2019_07_OH0501900_NIBRS",,0
2019,8199561,14588,8,2019,"U",,"Y","G","C","2019_08_OH0501900_NIBRS",,0
2019,8207223,14588,9,2019,"U",,"Y","G","C","2019_09_OH0501900_NIBRS",,0
2019,8214885,14588,10,2019,"U",,"Y","G","C","2019_10_OH0501900_NIBRS",,0
2019,8145633,14205,1,2019,"I",,"Y","G","C","2019_01_OH0160600_NIBRS",47954602,0
2019,8153295,14205,2,2019,"I",,"Y","G","C","2019_02_OH0160600_NIBRS",47950023,0
2019,8160957,14205,3,2019,"I",,"Y","G","C","2019_03_OH0160600_NIBRS",47537360,0
2019,8168619,14205,4,2019,"I",,"Y","G","C","2019_04_OH0160600_NIBRS",47959844,0
2019,8176281,14205,5,2019,"I",,"Y","G","C","2019_05_OH0160600_NIBRS",49839124,0
2019,8145834,14469,1,2019,"I",,"Y","G","C","2019_01_OH0400100_NIBRS",60796389,0
2019,8153496,14469,2,2019,"I",,"Y","G","C","2019_02_OH0400100_NIBRS",62578323,0
2019,8161158,14469,3,2019,"I",,"Y","G","C","2019_03_OH0400100_NIBRS",60806011,0
2019,8168820,14469,4,2019,"I",,"Y","G","C","2019_04_OH0400100_NIBRS",60806014,0
2019,8176482,14469,5,2019,"I",,"Y","G","C","2019_05_OH0400100_NIBRS",60796392,0
2019,8184144,14469,6,2019,"I",,"Y","G","C","2019_06_OH0400100_NIBRS",68638833,0
2019,8191806,14469,7,2019,"I",,"Y","G","C","2019_07_OH0400100_NIBRS",60807992,0
