"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,121054473,1.7,1,12974575
2019,8,121061247,1,9,12964620
2019,5,121066608,6.1,1,12974682
2019,5,121066643,2,1,12974684
2019,5,121070096,0.6,1,12974687
2019,16,121066712,1,1,12979895
2019,12,121070755,36.6,1,12974779
2019,16,121061979,67.8,1,12964744
2019,12,121061979,57.6,1,12980018
2019,8,121062022,1,9,12964758
2019,5,121062128,28,1,12964783
2019,5,121062195,1.73,1,12964793
2019,5,121062215,13.93,1,12974851
2019,5,121067724,28.15,1,12974857
2019,3,121062336,43.1,1,12974873
2019,16,121067872,1,11,12974892
2019,5,121067872,1,11,12974893
2019,2,121071227,0.19,1,12980098
2019,17,121071434,,,12964855
2019,5,121062567,11.1,1,12964866
2019,5,121071677,1,11,12980156
2019,16,121071783,1,7,12974999
2019,17,121068410,100,1,12980190
2019,5,121071923,1.8,1,12975029
2019,17,121068546,25.7,1,12980206
2019,17,121068763,1,11,12975049
2019,5,121072279,1,1,12975072
2019,5,121072293,0.1,1,12980240
2019,16,121072293,1,1,12975075
2019,17,121063196,0.01,1,12964962
2019,5,121068917,1,11,12980246
2019,5,121063221,0.5,1,12964971
2019,12,121068988,1,1,12980259
2019,5,121069106,4.3,1,12975111
2019,3,121069106,54.7,1,12975112
2019,5,121069112,1.3,1,12980283
2019,12,121063321,1,1,12964988
2019,5,121063325,1,1,12964989
2019,5,121069130,27.1,1,12980285
2019,5,121072743,0.001,1,12965002
2019,17,121072759,0.001,1,12975160
2019,17,121072760,,,12975161
2019,4,121072774,36.4,1,12975164
2019,1,121072949,0.01,1,12975183
2019,17,121069527,0.011,1,12980333
2019,4,121069527,1.604,1,12980334
2019,14,121073114,1,9,12975201
2019,12,121069568,2,1,12975204
2019,17,121069568,1,1,12975203
2019,17,121074595,,,12980339
2019,4,121081411,0.001,1,12980645
2019,16,121076968,0.001,9,12980649
2019,17,121081463,,,12965409
2019,5,121085128,0.002,1,12975470
2019,5,121077162,11,1,12980667
2019,12,121085294,2.7,1,12975484
2019,5,121077589,13,1,12980712
2019,2,121077694,5.95,1,12975505
2019,12,121077694,0.5,1,12980726
2019,4,121082179,0.001,9,12965498
2019,4,121086486,0.3,1,12975600
2019,16,121086661,0.09,1,12975611
2019,17,121086661,0.49,1,12975612
2019,5,121086755,1,9,12975624
2019,1,121078899,7.55,1,12980813
2019,17,121080900,,,12965334
2019,5,121080987,98,1,12965347
2019,4,121080987,1,11,12965346
2019,12,121073941,1,11,12975323
2019,5,121084709,1,1,12975408
2019,5,121081081,7.3,1,12965361
2019,16,121084730,1.12,1,12980602
2019,16,121084730,8,9,12975411
2019,5,121081148,1,1,12980614
2019,16,121084915,2,1,12975445
2019,8,121084945,0.1,1,12975447
2019,1,121084957,0.001,9,12975448
2019,17,121085248,,,12975480
2019,12,121077355,1,11,12980679
2019,1,121086565,3.7,1,12975608
2019,4,121086565,2.6,1,12975610
2019,8,121086565,9.1,1,12975609
2019,17,121086825,,,12975627
2019,17,121078846,,,12980808
2019,1,121086913,1.7,1,12975634
2019,17,121087023,,,12975641
2019,5,121087262,0.001,1,12975662
2019,2,121087262,0.75,1,12980821
2019,1,121088008,1,1,12975702
2019,1,121088616,2,1,12975727
2019,17,121088803,,,12975734
2019,17,121089082,,,12975738
2019,1,121089087,1,11,12975739
2019,2,121089096,0.001,9,12975740
2019,4,120404605,0.001,1,12804684
2019,8,120404777,,,12804690
2019,5,120405079,9.08,1,12812721
2019,12,120405143,9,1,12804720
2019,17,120405198,25.91,1,12812733
2019,5,120405335,1,1,12808848
2019,12,120405390,,,12812766
2019,1,120405453,1,9,12812779
2019,16,120405470,1,9,12808855
2019,5,120405470,2,9,12804740
2019,2,120396191,3.22,1,12808860
2019,5,120405536,4,1,12812792
2019,5,120405617,1,9,12812801
2019,1,120399997,,,12804747
2019,5,120396248,0.001,1,12812806
2019,5,120405806,4.21,1,12812822
2019,5,120405818,0.31,1,12812823
2019,12,120406258,,,12812871
2019,10,120396423,1,9,12808893
2019,12,120406603,,,12808905
2019,4,120406837,0.9,1,12804799
2019,1,120406837,2.1,1,12812953
2019,12,120406864,10.4,1,12812958
2019,1,120400376,1.4,1,12804803
2019,12,120396650,1,9,12813011
2019,5,120408322,26,1,12813154
2019,5,120397049,10.4,1,12808978
2019,9,120409346,1,9,12813275
2019,1,120409395,14.7,1,12813280
2019,5,120410306,3.5,1,12813442
2019,16,120410436,98,9,12813477
2019,4,120410512,1,1,12809174
2019,12,120410519,7.21,1,12813493
2019,8,120410519,1,9,12813495
2019,4,120410519,0.1,1,12813494
2019,1,120402212,1.3,1,12809177
2019,1,120410629,1,1,12809186
2019,12,120410639,3.53,1,12813524
2019,12,120410672,0.25,1,12813533
2019,12,120398367,2,1,12813535
2019,5,120410944,1,1,12813590
2019,8,120410948,5.7,1,12813591
2019,16,120410948,3.5,9,12813592
2019,2,120411092,3.4,1,12813610
2019,17,120398714,,,12809240
2019,5,120398730,14,1,12809242
2019,17,120399135,,,12809315
2019,5,120399142,8,1,12809316
2019,5,120411962,1,9,12813759
2019,4,120411962,2,9,12813758
2019,17,120412010,0.5,1,12813763
2019,4,120412171,1,11,12805333
2019,4,120415149,2,9,12809430
2019,16,120412318,1,9,12809456
2019,12,120412419,1,9,12809472
2019,5,120412432,5,1,12809475
2019,3,120412432,12,1,12809474
2019,16,120412434,1,9,12805375
2019,1,120412452,1,1,12813821
2019,16,120404338,1,9,12805381
2019,17,120412499,,,12809484
2019,12,120404348,1,1,12805383
2019,5,120412503,0.1,1,12813830
2019,12,120404381,1,1,12805387
2019,17,120412540,,,12805390
2019,16,120412564,1,9,12805394
2019,17,120415716,0.48,1,12809513
2019,16,120404560,10,3,12805419
2019,16,120415787,6,9,12809525
2019,5,120419899,1,1,12809574
2019,12,120416356,1,11,12809582
2019,17,120413067,1,11,12813888
2019,12,120419938,0.6,1,12805471
2019,5,120413245,1,11,12813912
2019,17,120413449,1,11,12813947
2019,13,120413459,1,1,12813949
2019,5,120420285,0.01,9,12805530
2019,5,120416721,1,11,12813997
2019,5,120420727,0.6,1,12805607
2019,17,120414182,,,12814090
2019,12,120414300,1,9,12814108
2019,4,120414300,1,9,12814109
2019,5,120414310,3.3,1,12814112
2019,12,120414363,0.1,1,12814118
2019,12,120414391,0.5,1,12814120
2019,1,120417325,2.8,1,12809751
2019,16,120414482,1,9,12814127
2019,12,120414482,0.57,1,12814126
2019,12,120417477,1.04,1,12809758
2019,5,120424629,1,1,12814140
2019,17,120417696,,,12809771
2019,11,120417757,15,9,12805632
2019,12,120425948,,,12814184
2019,4,120426068,1,1,12814186
2019,1,120426683,,,12814206
2019,5,120426825,1,1,12814208
2019,16,120426825,1,1,12814207
