"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31611355,1,31641498
2019,31607125,1,31637293
2019,31607128,3,31637296
2019,31607129,1,31641523
2019,31611412,1,31637322
2019,31611413,1,31637323
2019,31611415,1,31637325
2019,31615279,1,31641545
2019,31615299,1,31641571
2019,31615302,1,31641575
2019,31611500,1,31633385
2019,31615321,1,31641590
2019,31615322,1,31641591
2019,31611534,1,31637444
2019,31611547,1,31641614
2019,31611572,1,31633413
2019,31607190,1,31641646
2019,31611598,1,31637506
2019,31611599,1,31641648
2019,31615374,1,31637508
2019,31615375,1,31633421
2019,31611604,1,31637509
2019,31611605,1,31637510
2019,31611629,1,31637531
2019,31611639,1,31637542
2019,31611650,1,31637554
2019,31339036,1,31350056
2019,31339054,1,31350070
2019,31339363,1,31350388
2019,31339372,1,31350398
2019,31331629,1,31343039
2019,31331638,2,31343049
2019,31339388,1,31350415
2019,31339405,1,31350434
2019,31334926,1,31346142
2019,31331676,1,31343087
2019,31339452,1,31350477
2019,31334952,1,31346169
2019,31334957,1,31346177
2019,31334967,1,31346186
2019,31334992,3,31346208
2019,36596758,1,36762542
2019,36600608,1,36765771
2019,36596765,1,36765774
2019,36596782,1,36771073
2019,36600644,1,36762578
2019,36605361,1,36765834
2019,36605380,1,36771104
2019,36600669,1,36771111
2019,36605400,1,36765871
2019,36596848,1,36762635
2019,36600736,5,36771182
2019,36605565,1,36766028
2019,36605586,1,36766049
2019,36605608,1,36762656
2019,36600755,1,36771201
2019,36605612,1,36766070
2019,36605618,1,36766080
2019,36600775,1,36771219
2019,36605641,1,36766104
2019,36605671,1,36766135
2019,36605680,1,36771243
2019,36600822,1,36766164
2019,36605700,1,36766163
2019,36600833,1,36771286
2019,36600841,1,36766188
2019,36596944,1,36771302
2019,36605746,1,36766212
2019,36596958,6,36762736
2019,36605757,1,36766225
2019,36605770,1,36766240
2019,36596966,1,36762744
2019,36596977,1,36762755
2019,36605800,1,36766268
2019,36605799,1,36766267
2019,36596978,1,36766269
2019,36596981,1,36762759
2019,36605873,1,36766340
2019,36600945,1,36771396
2019,36597033,1,36762811
2019,36600960,1,36771413
2019,36597050,1,36762827
2019,36605920,1,36762829
2019,36600983,1,36771439
2019,36600989,1,36771446
2019,36600992,3,36771449
2019,36601017,1,36771476
2019,36601054,1,36771514
2019,36597132,3,36762906
2019,36601062,1,36766508
2019,36606051,1,36766511
2019,36606055,1,36771530
2019,36597145,1,36766520
2019,36597149,1,36762921
2019,36597181,1,36762948
2019,36597183,1,36762949
2019,36597184,1,36762951
2019,36606124,1,36766590
2019,36606123,1,36766589
2019,36597196,1,36762963
2019,36597198,1,36762966
2019,36597204,3,36762972
2019,36606137,1,36766608
2019,36606146,1,36766614
2019,36597218,1,36762984
2019,36606155,1,36766623
2019,36601169,1,36771633
2019,30571574,1,30564612
2019,31318987,1,31335038
2019,31316270,1,31327658
2019,31316272,1,31327659
2019,31324087,1,31330290
2019,31324089,1,31335157
2019,31324102,1,31335170
2019,31316406,1,31330349
2019,31319152,1,31327790
2019,31324158,1,31330354
2019,31324170,1,31327818
2019,31319221,1,31335285
2019,31319220,1,31330413
2019,31319228,1,31327854
2019,31324314,1,31330518
2019,31324323,1,31330531
2019,31316592,1,31327961
2019,31316636,1,31330592
2019,31319416,1,31335483
2019,31324420,1,31328041
2019,31324423,1,31330650
2019,31324427,1,31328043
2019,31324434,1,31330660
2019,31319459,1,31330661
2019,31324478,1,31330707
2019,31316880,1,31330874
2019,31324677,1,31335750
2019,31324694,1,31330906
2019,31317170,1,31328503
2019,31317184,1,31328515
2019,31325057,1,31331289
2019,31317202,7,31328538
2019,31320026,1,31336105
2019,31325095,1,31336112
2019,31317219,1,31336111
2019,31320051,1,31331360
2019,31320109,1,31336171
2019,31317292,1,31331433
2019,31317297,1,31331440
2019,31317301,1,31328627
2019,31317300,1,31331447
2019,31320139,1,31336200
2019,31320151,1,31336210
2019,31317354,1,31328678
2019,31325242,1,31336240
2019,31325335,1,31331621
2019,31325352,1,31331638
2019,31325350,1,31331637
2019,31317450,1,31336350
2019,31320315,1,31328781
2019,31317464,1,31331663
2019,31320322,1,31328793
2019,31325403,1,31331688
2019,31320344,1,31336380
2019,31317515,1,31331743
2019,31317562,1,31328882
2019,31320419,1,31336461
2019,31320420,1,31336462
2019,31325526,1,31336471
2019,31325530,1,31331813
2019,31325675,1,31336578
2019,31325733,1,31332015
2019,31325735,1,31332017
2019,31317608,1,31336494
2019,31317658,1,31328982
2019,31317676,1,31329000
2019,31320585,1,31332027
2019,31325760,1,31336637
2019,31325767,1,31336642
2019,31325766,1,31332053
2019,31317782,1,31329108
2019,31320681,1,31336730
2019,31317825,1,31329163
2019,31326193,1,31329403
2019,31326620,1,31332888
2019,31318456,6,31329804
2019,31318467,6,31337538
2019,31321537,1,31337571
2019,31321545,6,31329843
2019,31326784,6,31333051
2019,31318506,6,31337584
2019,31321553,6,31333062
2019,31321582,3,31333079
2019,31321603,3,31329903
2019,31318548,6,31329906
2019,31328841,1,31340188
2019,31328850,1,31340201
2019,31328862,1,31340214
2019,31328860,1,31340212
2019,31328861,1,31340213
2019,31327053,1,31333318
2019,31327083,1,31333348
2019,31329085,1,31333505
2019,31322119,1,31340452
2019,31322118,1,31340451
2019,31322156,1,31338180
2019,36293455,1,36440929
2019,36294612,1,36438046
2019,36293462,1,36433244
2019,36286496,1,36433241
2019,36294621,1,36433242
2019,36294624,1,36438058
2019,36294634,1,36438069
2019,36286503,1,36438073
2019,36293531,1,36441009
2019,36294752,1,36438185
2019,36294773,3,36441040
2019,36293575,1,36438225
2019,36294800,1,36441057
2019,36294803,1,36438234
2019,36293589,1,36438237
2019,36294812,1,36438242
2019,36293595,1,36441072
2019,36294837,8,36438266
2019,36294838,1,36438268
2019,36294840,1,36438269
2019,36293602,1,36438275
2019,36293612,1,36441090
2019,36286582,1,36438295
2019,36294864,1,36438294
2019,36294866,7,36438296
2019,36294866,8,36438298
2019,36293616,1,36438302
2019,36294869,1,36441093
2019,36286585,1,36433331
2019,36293621,1,36441101
2019,36286588,1,36433334
2019,36294889,1,36433339
2019,36293637,1,36441118
2019,36293636,1,36441117
2019,36293638,1,36441119
2019,36294907,1,36438335
2019,36293646,1,36438340
2019,36294916,1,36438346
2019,36294921,1,36438352
2019,36294922,1,36438353
2019,36293656,1,36441133
2019,36294933,1,36438363
2019,36286604,1,36433351
2019,36294935,1,36438366
2019,36293664,1,36433352
2019,36293673,1,36441152
2019,36293674,1,36438371
2019,36293672,1,36433358
2019,36293677,1,36441154
2019,36294947,1,36433363
2019,36293684,1,36441161
2019,36286612,1,36433366
2019,36293689,3,36433368
2019,36293695,1,36441172
2019,36293696,7,36438385
2019,30557317,1,30562441
2019,36293698,1,36441173
2019,36294962,1,36433373
2019,36294965,1,36438388
2019,36293704,2,36441179
2019,36286619,1,36433380
2019,36293707,1,36433384
2019,36293709,1,36438394
2019,36286625,1,36433387
2019,36286624,1,36433386
2019,31320591,1,31332033
2019,31320686,1,31336734
2019,31320684,1,31336732
2019,31320733,1,31336769
2019,31321315,1,31332816
2019,31321364,1,31329699
2019,31326629,1,31329707
2019,31321475,6,31332992
2019,31321477,1,31329803
2019,31321479,1,31337518
2019,31326747,6,31333010
2019,31321500,1,31329816
2019,31326748,6,31329817
2019,31321507,6,31329822
2019,31326754,3,31333019
2019,31326755,1,31329826
2019,31326770,6,31337567
2019,31321542,1,31329841
2019,31318494,1,31333049
2019,31321583,6,31337611
2019,31328942,2,31337998
2019,31322004,1,31338031
2019,31322007,1,31333407
2019,31328977,1,31340325
2019,31327139,1,31333415
2019,31328982,1,31333416
2019,32511203,1,32545010
2019,32511214,1,32541332
2019,32519368,3,32537729
2019,32519385,2,32537752
2019,32511304,1,32541389
2019,32511309,1,32537811
2019,32511323,1,32537825
2019,32519445,1,32545122
2019,32517102,1,32541448
2019,32511442,1,32545175
2019,32519501,1,32537948
2019,32511505,1,32538001
2019,30568323,1,30564639
2019,30574546,1,30580857
2019,31318955,1,31327611
2019,31323933,1,31327617
2019,31318963,1,31335013
2019,31318973,1,31335023
2019,31323957,1,31330162
2019,31316253,2,31330173
2019,31319030,1,31335083
2019,31319032,1,31335085
2019,31324022,1,31330224
2019,31324063,1,31335127
2019,31316349,1,31327731
2019,31316355,1,31327739
2019,31316356,1,31335149
2019,31324203,1,31330397
2019,31316580,1,31327954
2019,31316579,1,31330516
2019,31316591,1,31330529
2019,31316677,1,31328031
2019,31324442,1,31330669
2019,31324473,1,31330701
2019,31318875,1,31319923
2019,31318952,1,31335005
2019,31323929,1,31330132
2019,32520239,1,32542234
2019,32517970,1,32542270
2019,31607077,1,31633304
2019,31611202,1,31637119
2019,31611228,1,31641428
2019,31611260,1,31633330
2019,31611286,1,31637202
2019,31611348,1,31637263
2019,31611377,1,31641511
2019,31611452,1,31637361
2019,31607144,1,31641558
2019,31611477,1,31641565
2019,31615290,1,31637381
2019,31611489,1,31637395
2019,31615300,1,31641573
2019,31611502,1,31633388
2019,31607157,1,31641584
2019,31615324,1,31641595
2019,31615325,1,31637442
2019,31615351,1,31641619
2019,31607182,1,31637480
2019,31611586,1,31637495
2019,31615367,1,31633416
2019,31607187,1,31637499
2019,31611627,1,31641677
2019,31611633,1,31637537
