"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,130359269,4
2019,130380368,5
2019,130380456,4
2019,130380521,4
2019,130376498,5
2019,130380616,4
2019,130359735,5
2019,130380687,5
2019,130380713,5
2019,130380714,5
2019,130380750,5
2019,130380756,5
2019,130359765,5
2019,130359773,4
2019,130376630,5
2019,130380820,5
2019,130359775,5
2019,130359782,5
2019,130359790,5
2019,130380912,5
2019,130380928,5
2019,130380930,4
2019,130381005,5
2019,130381038,5
2019,130381076,5
2019,130381077,5
2019,130381072,5
2019,130381075,5
2019,130359826,5
2019,130381107,5
2019,130359851,4
2019,130381192,5
2019,130381199,4
2019,130376850,5
2019,130359887,5
2019,130381252,4
2019,130359917,5
2019,130381328,5
2019,130359924,5
2019,130376923,5
2019,130381386,5
2019,130376974,5
2019,130359948,5
2019,130377013,5
2019,130377014,5
2019,130377112,4
2019,130377113,4
2019,130360069,5
2019,130377202,5
2019,130360091,5
2019,130360109,5
2019,130381770,5
2019,130360121,5
2019,130360134,4
2019,130381814,5
2019,130360143,4
2019,130377324,5
2019,130381858,5
2019,130381862,5
2019,130381881,5
2019,130360233,5
2019,130377384,5
2019,130381903,5
2019,130360241,4
2019,130381914,5
2019,130377398,5
2019,130360262,5
2019,130388431,4
2019,130360746,4
2019,130384011,5
2019,130388547,4
2019,130384038,5
2019,130388552,5
2019,130384040,4
2019,130360761,5
2019,130384088,5
2019,130388610,5
2019,130384156,4
2019,130384159,4
2019,130384166,5
2019,130388715,5
2019,130388730,5
2019,130360846,4
2019,130360857,5
2019,130360877,5
2019,130360889,5
2019,130360892,5
2019,130388895,5
2019,130388908,5
2019,130360931,5
2019,130384373,5
2019,130384381,5
2019,130384458,4
2019,130389136,4
2019,130360989,4
2019,130360992,4
2019,130361006,5
2019,130361029,4
2019,130361027,4
2019,130361028,4
2019,130385009,4
2019,130385019,5
2019,130361367,5
2019,130361414,5
2019,130390273,4
2019,130361424,5
2019,130390279,5
2019,130390278,5
2019,130361432,4
2019,130361436,5
2019,130361452,4
2019,130361460,5
2019,130361479,2
2019,130361492,5
2019,130361511,4
2019,130361526,5
