"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,9,147629322
2019,9,147629334
2019,9,147635433
2019,6,147639504
2019,6,147639503
2019,2,147635598
2019,6,147639822
2019,6,147639823
2019,6,147639833
2019,6,147635703
2019,8,147639865
2019,9,147635750
2019,9,147635751
2019,9,147639906
2019,6,147630057
2019,6,147635968
2019,9,147640224
2019,9,147630194
2019,9,147630288
2019,9,147641300
2019,9,147641304
2019,9,147630369
2019,9,147630414
2019,9,147641380
2019,9,147641382
2019,9,147630426
2019,9,147640542
2019,9,147641431
2019,9,147641473
2019,2,147640621
2019,9,147630545
2019,9,147641500
2019,6,147630679
2019,9,147640899
2019,9,147640937
2019,6,147630896
2019,6,147641067
2019,9,147641162
2019,9,147641797
2019,6,147641809
2019,9,147641819
2019,9,147641821
2019,9,147631119
2019,3,147646317
2019,6,147646355
2019,9,147651200
2019,6,147641936
2019,6,147641935
2019,9,147641963
2019,6,147651235
2019,9,147642051
2019,9,147642054
2019,6,147651440
2019,6,147651438
2019,9,147651455
2019,6,147646644
2019,3,147646644
2019,9,147642098
2019,9,147646867
2019,6,148517303
2019,6,148533453
2019,9,148528080
2019,9,148528082
2019,1,148533610
2019,6,148533629
2019,6,148533638
2019,6,148533637
2019,6,148533636
2019,9,147642180
2019,8,147651624
2019,6,147651623
2019,6,147651648
2019,6,147651692
2019,6,147651693
2019,9,147651706
2019,9,147642233
2019,9,147647096
2019,9,147651905
2019,6,147647137
2019,6,147647156
2019,7,147647242
2019,8,147647242
2019,6,147647242
2019,9,147642373
2019,8,147652128
2019,9,147642443
2019,9,147647629
2019,6,147647649
2019,8,147652824
2019,8,147652826
2019,9,147642940
2019,9,147653058
2019,9,147643037
2019,9,147647798
2019,9,147653128
2019,9,147653162
2019,9,147643098
2019,9,147647829
2019,6,147643116
2019,6,147643115
2019,9,147647892
2019,9,147653295
2019,9,147653343
2019,9,147647943
2019,6,147647961
2019,6,147647962
2019,9,147653415
2019,9,147653419
2019,6,147653720
2019,9,147653725
2019,9,147653735
2019,9,147648075
2019,3,147648107
2019,3,147653932
2019,9,147653949
2019,4,147648319
2019,9,147643554
2019,6,147643576
2019,9,147643594
2019,9,147643643
2019,9,147648469
2019,9,147654085
2019,9,147643675
2019,9,147648535
2019,9,147643744
2019,6,147648632
2019,9,147643776
2019,9,146713635
2019,6,146713660
2019,9,146713679
2019,1,146721986
2019,6,146721987
2019,6,146721988
2019,9,146722043
2019,6,146713797
2019,6,146722073
2019,6,146719508
2019,3,146713944
2019,6,146722130
2019,6,146719656
2019,6,146722144
2019,6,146719690
2019,6,146713982
2019,6,146719698
2019,6,146722174
2019,6,146722177
2019,6,146722178
2019,6,146714019
2019,6,146719732
2019,6,146719743
2019,9,146719746
2019,6,146714043
2019,6,146722216
2019,6,146719788
2019,6,146714060
2019,6,146719793
2019,9,146722236
2019,6,146719834
2019,6,146719846
2019,9,146719856
2019,6,146722253
2019,6,146714088
2019,6,146722266
2019,9,146722270
2019,6,146719883
2019,6,146719885
2019,6,146714108
2019,6,146714107
2019,6,146719889
2019,6,146722294
2019,6,146722303
2019,6,146722314
2019,9,146714123
2019,6,146714131
2019,6,146714132
2019,6,146722355
2019,6,146722354
2019,5,146719903
2019,6,146722374
2019,6,146719985
2019,2,146720221
2019,9,146720232
2019,6,146720239
2019,6,146722614
2019,6,146722618
2019,6,146714454
2019,6,146714455
2019,6,146722675
2019,6,146714497
2019,6,146714499
2019,6,146714500
2019,6,146722744
2019,6,146722762
2019,6,146722761
2019,6,146714561
2019,8,146714561
2019,6,146720598
2019,6,146720596
2019,6,146722856
2019,6,146722855
2019,9,146714587
2019,6,146722896
2019,9,146714605
2019,2,146720748
2019,6,146722954
2019,9,146714650
2019,6,146723171
2019,6,146726223
2019,6,146723239
2019,6,146726304
2019,9,146726303
2019,9,146726362
2019,6,146723399
2019,9,146723401
2019,9,146726454
2019,9,146723406
2019,9,146714822
2019,6,146726516
2019,9,146714827
2019,9,146723471
2019,6,146726574
2019,6,146726575
2019,9,146723520
2019,9,146726643
2019,9,146726711
2019,9,146726731
2019,9,146723581
2019,9,146723597
2019,9,146723659
2019,9,146723663
2019,9,146723665
2019,9,146723675
2019,6,146723757
2019,9,146723762
2019,9,146723793
2019,9,146723812
2019,9,146727023
2019,9,146723819
2019,9,146723848
2019,9,146727081
2019,9,146723853
2019,9,146723885
2019,9,146727149
2019,3,146727184
2019,6,146723927
2019,9,146723976
2019,9,146715043
2019,9,146724025
2019,6,146724036
2019,6,146724037
2019,7,146724035
2019,9,146724041
2019,1,146727312
2019,9,146724111
2019,9,146724115
2019,9,146727407
2019,9,146724142
2019,9,146715124
2019,9,146724174
2019,6,146724173
2019,9,146727480
2019,6,146727513
2019,9,146727606
2019,9,146727640
2019,9,146724263
2019,9,146724266
2019,8,146727665
2019,9,146727733
2019,8,146727742
2019,9,146724375
2019,8,146724427
2019,9,146724474
2019,6,146845135
2019,6,146845144
2019,9,146845148
2019,6,146845210
2019,6,146845243
2019,3,146845267
2019,6,146845269
2019,6,146845270
2019,9,146845385
2019,9,146845386
2019,6,146845417
2019,6,146845418
2019,9,146845423
2019,9,146845677
2019,8,146845765
2019,9,146845798
2019,6,146877542
2019,6,146845870
2019,9,146845955
2019,6,146877562
2019,6,146877561
2019,6,146846033
